Nome do Arquivo;Tempo de Processamento(ms);Quantidade de Linhas
tarefas43000.txt;186;78279
tarefas20000.txt;58;23823
tarefas6000.txt;101;57985
tarefas51000.txt;189;81240
tarefas32000.txt;197;34951
tarefas67000.txt;239;67813
tarefas79000.txt;292;92324
tarefas75000.txt;299;56683
tarefas16000.txt;316;26477
tarefas98000.txt;368;97382
tarefas86000.txt;485;127360
tarefas94000.txt;617;127437
tarefas96000.txt;648;126352
tarefas88000.txt;819;130290
tarefas84000.txt;868;118884
tarefas30000.txt;916;86815
tarefas53000.txt;974;83844
tarefas8000.txt;966;60749
tarefas4000.txt;1102;55296
tarefas22000.txt;1081;26477
tarefas41000.txt;1146;58827
tarefas69000.txt;1165;53802
tarefas14000.txt;1104;23823
tarefas77000.txt;1209;56598
tarefas65000.txt;1307;81240
tarefas18000.txt;1204;34951
tarefas80000.txt;1434;119088
tarefas92000.txt;1619;122000
tarefas61000.txt;1512;62634
tarefas10000.txt;1496;45591
tarefas73000.txt;1575;76238
tarefas26000.txt;1563;51247
tarefas38000.txt;1769;43387
tarefas45000.txt;1722;72609
tarefas34000.txt;1815;73572
tarefas49000.txt;1843;42829
tarefas57000.txt;1954;83769
tarefas71000.txt;2011;67976
tarefas12000.txt;2038;35017
tarefas63000.txt;1980;75483
tarefas28000.txt;1993;43480
tarefas55000.txt;2079;72907
tarefas36000.txt;2061;64940
tarefas47000.txt;2140;34375
tarefas24000.txt;2158;59773
tarefas2000.txt;2152;8496
tarefas59000.txt;2707;92193
tarefas90000.txt;2502;119088
tarefas82000.txt;2645;122000
tarefas87000.txt;2700;123264
tarefas99000.txt;2891;136856
tarefas95000.txt;2959;125897
tarefas78000.txt;2978;90850
tarefas66000.txt;2958;51036
tarefas17000.txt;2953;33709
tarefas74000.txt;3508;79739
tarefas21000.txt;2835;30810
tarefas7000.txt;2955;58225
tarefas42000.txt;3017;39932
tarefas33000.txt;3059;70586
tarefas50000.txt;3100;48307
tarefas76000.txt;3181;97874
tarefas15000.txt;3155;25129
tarefas68000.txt;3253;53731
tarefas19000.txt;3311;42831
tarefas64000.txt;3374;67741
tarefas9000.txt;3287;9735
tarefas52000.txt;4113;71299
tarefas31000.txt;3581;76251
tarefas40000.txt;3483;74067
tarefas5000.txt;3560;15431
tarefas23000.txt;3763;67873
tarefas89000.txt;3878;123264
tarefas97000.txt;3965;136856
tarefas85000.txt;4057;125897
tarefas44000.txt;4106;39865
tarefas39000.txt;4279;76207
tarefas1000.txt;4612;44149
tarefas27000.txt;4209;44781
tarefas56000.txt;4146;39917
tarefas48000.txt;4165;71253
tarefas35000.txt;5218;44944
tarefas60000.txt;4359;82495
tarefas72000.txt;4432;67787
tarefas11000.txt;4332;40123
tarefas81000.txt;4477;120398
tarefas93000.txt;4562;123150
tarefas91000.txt;4713;120398
tarefas83000.txt;4806;123150
tarefas37000.txt;4878;67834
tarefas54000.txt;4950;87979
tarefas29000.txt;4900;28004
tarefas58000.txt;5084;71142
tarefas25000.txt;5111;44634
tarefas3000.txt;5009;21061
tarefas46000.txt;5095;71650
tarefas13000.txt;5057;11212
tarefas70000.txt;5216;82634
tarefas62000.txt;6664;68071
